exception_name;count;libraries
DBSubnetGroupNotFoundError;2;1
ClusterSecurityGroupNotFoundError;2;1
InvalidKeyPairDuplicateError;2;1
InvalidAllocationIdError;2;1
InvalidAddressError;2;1
InvalidAdapterTypeException;2;1
InvalidFrameError;2;1
ClusterParameterGroupNotFoundError;2;1
GroupByError;2;1
BadViewMap;2;1
DBSecurityGroupNotFoundError;2;1
FallbackToBackend;2;1
InvalidDescribeRulesRequest;2;1
FitSolverError;2;1
InvalidDBInstanceStateError;2;1
BadObject;2;1
InvalidCustomerGatewayIdError;2;1
InvalidConfigFile;2;1
InvalidConditionFieldError;2;1
BadThunkOutput;2;1
ClusterSnapshotNotFoundError;2;1
InvalidCIDRSubnetError;2;1
DuplicateConsumerTag;2;1
HookExecutionError;2;1
MissingKey;2;1
ClusterSubnetGroupNotFoundError;2;1
INIT_TLS_SESSION;2;1
ActionTargetGroupNotFoundError;2;1
InvalidPermissionNotFoundError;2;1
InvalidUnwrap;2;1
EC2ClientError;2;1
DuplicateTagKeysError;2;1
InvalidSchema;2;1
InvalidSecurityGroupError;2;1
InvalidTargetBucketForLogging;2;1
DuplicateLoadBalancerName;2;1
InvalidRepository;2;1
AMQPConnectionError;2;1
ERROR;2;1
InvalidTargetError;2;1
EmptyDatabaseException;2;1
BadName;2;1
InvalidNetworkAclIdError;2;1
InvalidAMIIdError;2;1
InterfaceNotImplemented;2;1
ContextNotDefined;2;1
BluetoothSocketError;2;1
GitCommandNotFound;2;1
InsufficientStartGas;2;1
BuildError;2;1
InvalidActionTypeError;2;1
CLOSED;2;1
GuiLockError;2;1
IPSecIntegrityError;2;1
InvalidVPCPeeringConnectionIdError;2;1
EmrError;2;1
SSLv2_RECEIVED_SERVERVERIFY;2;1
PcapTimeoutElapsed;2;1
_CoeffExpValueError;2;1
MatWriteError;2;1
v_error;2;1
new_exc;2;1
new;2;1
maxException;2;1
last_exception;2;1
ResourceInUseError;2;1
InvalidVpnGatewayIdError;2;1
host_config_value_error;2;1
ResourceAlreadyExistsException;2;1
ResourceAlreadyAssociatedError;2;1
KRACK_DISPATCHER;2;1
exception_type;2;1
SSLError;2;1
f_error;2;1
SSLv2_HANDLED_CLIENTFINISHED;2;1
_exception;2;1
create_unexpected_kwargs_error;2;1
SSLv2_RECEIVED_CLIENTFINISHED;2;1
SSLv2_ADDED_SERVERVERIFY;2;1
LatexError;2;1
ParseArffError;2;1
ex;2;1
LLDPMissingLowerLayer;2;1
LLDPInvalidTLVCount;2;1
SnapshotCopyGrantNotFoundFaultError;2;1
SWFTypeDeprecatedFault;2;1
InvalidVPCPeeringConnectionStateTransitionError;2;1
Unsatisfiable;2;1
UnusedInputError;2;1
WAIT_ARP_REPLIES;2;1
NotImplemented;2;1
PrecisionExhausted;2;1
ShortCircuit;2;1
WAIT_DATA;2;1
MissingParameterError;2;1
WAIT_RRQ;2;1
SWFWorkflowExecutionClosedError;2;1
Timeout;2;1
ProxyError;2;1
PyperclipWindowsException;2;1
PriorityInUseError;2;1
_NoConvergence;2;1
ViolationOfPauliPrinciple;2;1
UnsortedIndexError;2;1
NotASurrogateError;2;1
PicklingError;2;1
OutOfBoundsDatetime;2;1
UnrewindableBodyError;2;1
UnicodeEncodeError;2;1
UnexpectedFrameError;2;1
NotInvertible;2;1
UndefinedVariableError;2;1
ParserError;2;1
SupportCodeError;2;1
TagLimitExceeded;2;1
TerminateTrajectory;2;1
InvalidModifyRuleArgumentsError;1;1
InvalidVpcCidrBlockAssociationIdError;1;1
MessageNotInflight;1;1
MatReadError;1;1
MethodNotImplemented;1;1
MISSING_CLIENTCERTIFICATE;1;1
MISSING_CERTIFICATEVERIFY;1;1
InvalidTypeException;1;1
InvalidVolumeAttachmentError;1;1
InvalidSPVProof;1;1
InvalidSubnetError;1;1
IsomorphismFailed;1;1
InvalidState;1;1
InvalidSecurityGroupDuplicateError;1;1
LLDPInvalidLastLayerException;1;1
MISSING_CHANGECIPHERSPEC;1;1
InvalidRouteError;1;1
LZMAError;1;1
InvalidNonce;1;1
InvalidProxyURL;1;1
InvalidNetworkAttachmentIdError;1;1
MISSING_SERVERCERTIFICATE;1;1
InvalidNotificationARN;1;1
MercurialRuntimeError;1;1
InvalidPermissionDuplicateError;1;1
SSLv2_MISSING_CLIENTFINISHED;1;1
SSLv2_ADDED_SERVERFINISHED;1;1
ICVError;1;1
PlotScriptError;1;1
PickleError;1;1
MISSING_CLIENTHELLO;1;1
MISSING_CLIENTKEYEXCHANGE;1;1
MISSING_SERVERHELLO;1;1
MISSING_SERVERKEYEXCHANGE;1;1
InvalidParameterValueErrorTagNull;1;1
MalformedAMIIdError;1;1
MalformedDHCPOptionsIdError;1;1
InvalidParameterValue;1;1
MISSING_CLIENTFINISHED;1;1
MaskError;1;1
InvalidNotificationEvent;1;1
InvalidNotificationDestination;1;1
MellinTransformStripError;1;1
LimitReached;1;1
ImageLoadError;1;1
InvalidPartOrder;1;1
LocalMetaOptimizerSkipAssertionError;1;1
IndentationError;1;1
InconsistentAssumptions;1;1
ImageNotFoundException;1;1
PcapNameNotFoundError;1;1
SSLv2_HANDLED_SERVERDATA;1;1
