id;full_name;watchers;html_url;releases_url;tags_url;created_at;updated_at;pushed_at;collaborators_url;contributors_url;tag_count
547504;geopy/geopy;1875;https://github.com/geopy/geopy;https://api.github.com/repos/geopy/geopy/releases{/id};https://api.github.com/repos/geopy/geopy/tags;2010-03-04T22:05:28Z;2018-05-14T19:54:52Z;2018-05-13T13:34:25Z;https://api.github.com/repos/geopy/geopy/collaborators{/collaborator};https://api.github.com/repos/geopy/geopy/contributors;51
409101;alex/django-taggit;1874;https://github.com/alex/django-taggit;https://api.github.com/repos/alex/django-taggit/releases{/id};https://api.github.com/repos/alex/django-taggit/tags;2009-12-08T23:40:49Z;2018-05-14T14:50:56Z;2018-03-09T14:51:23Z;https://api.github.com/repos/alex/django-taggit/collaborators{/collaborator};https://api.github.com/repos/alex/django-taggit/contributors;47
28710753;sphinx-doc/sphinx;1871;https://github.com/sphinx-doc/sphinx;https://api.github.com/repos/sphinx-doc/sphinx/releases{/id};https://api.github.com/repos/sphinx-doc/sphinx/tags;2015-01-02T10:53:28Z;2018-05-14T13:16:46Z;2018-05-14T16:51:07Z;https://api.github.com/repos/sphinx-doc/sphinx/collaborators{/collaborator};https://api.github.com/repos/sphinx-doc/sphinx/contributors;106
17444456;XuShaohua/bcloud;1852;https://github.com/XuShaohua/bcloud;https://api.github.com/repos/XuShaohua/bcloud/releases{/id};https://api.github.com/repos/XuShaohua/bcloud/tags;2014-03-05T15:07:47Z;2018-05-12T05:36:23Z;2018-03-28T10:27:06Z;https://api.github.com/repos/XuShaohua/bcloud/collaborators{/collaborator};https://api.github.com/repos/XuShaohua/bcloud/contributors;37
788264;zeromq/pyzmq;1849;https://github.com/zeromq/pyzmq;https://api.github.com/repos/zeromq/pyzmq/releases{/id};https://api.github.com/repos/zeromq/pyzmq/tags;2010-07-21T07:20:37Z;2018-05-14T08:40:40Z;2018-05-07T13:43:30Z;https://api.github.com/repos/zeromq/pyzmq/collaborators{/collaborator};https://api.github.com/repos/zeromq/pyzmq/contributors;44
10674033;marcgibbons/django-rest-swagger;1848;https://github.com/marcgibbons/django-rest-swagger;https://api.github.com/repos/marcgibbons/django-rest-swagger/releases{/id};https://api.github.com/repos/marcgibbons/django-rest-swagger/tags;2013-06-13T19:28:32Z;2018-05-14T14:56:42Z;2018-04-30T20:07:14Z;https://api.github.com/repos/marcgibbons/django-rest-swagger/collaborators{/collaborator};https://api.github.com/repos/marcgibbons/django-rest-swagger/contributors;48
1643611;daviddrysdale/python-phonenumbers;1832;https://github.com/daviddrysdale/python-phonenumbers;https://api.github.com/repos/daviddrysdale/python-phonenumbers/releases{/id};https://api.github.com/repos/daviddrysdale/python-phonenumbers/tags;2011-04-21T03:06:38Z;2018-05-14T19:43:06Z;2018-05-05T07:01:19Z;https://api.github.com/repos/daviddrysdale/python-phonenumbers/collaborators{/collaborator};https://api.github.com/repos/daviddrysdale/python-phonenumbers/contributors;154
47190624;conan-io/conan;1828;https://github.com/conan-io/conan;https://api.github.com/repos/conan-io/conan/releases{/id};https://api.github.com/repos/conan-io/conan/tags;2015-12-01T13:17:02Z;2018-05-14T15:45:47Z;2018-05-14T18:17:17Z;https://api.github.com/repos/conan-io/conan/collaborators{/collaborator};https://api.github.com/repos/conan-io/conan/contributors;92
3544490;PyGithub/PyGithub;1820;https://github.com/PyGithub/PyGithub;https://api.github.com/repos/PyGithub/PyGithub/releases{/id};https://api.github.com/repos/PyGithub/PyGithub/tags;2012-02-25T12:53:47Z;2018-05-14T08:32:51Z;2018-05-14T18:04:57Z;https://api.github.com/repos/PyGithub/PyGithub/collaborators{/collaborator};https://api.github.com/repos/PyGithub/PyGithub/contributors;67
2179572;Kozea/WeasyPrint;1796;https://github.com/Kozea/WeasyPrint;https://api.github.com/repos/Kozea/WeasyPrint/releases{/id};https://api.github.com/repos/Kozea/WeasyPrint/tags;2011-08-09T14:14:24Z;2018-05-14T18:33:41Z;2018-05-05T10:03:46Z;https://api.github.com/repos/Kozea/WeasyPrint/collaborators{/collaborator};https://api.github.com/repos/Kozea/WeasyPrint/contributors;55
11563368;DamnWidget/anaconda;1793;https://github.com/DamnWidget/anaconda;https://api.github.com/repos/DamnWidget/anaconda/releases{/id};https://api.github.com/repos/DamnWidget/anaconda/tags;2013-07-21T15:14:07Z;2018-05-13T12:00:01Z;2018-03-13T16:09:23Z;https://api.github.com/repos/DamnWidget/anaconda/collaborators{/collaborator};https://api.github.com/repos/DamnWidget/anaconda/contributors;100
12798028;pritunl/pritunl;1781;https://github.com/pritunl/pritunl;https://api.github.com/repos/pritunl/pritunl/releases{/id};https://api.github.com/repos/pritunl/pritunl/tags;2013-09-13T00:30:53Z;2018-05-14T15:09:19Z;2018-05-14T01:47:02Z;https://api.github.com/repos/pritunl/pritunl/collaborators{/collaborator};https://api.github.com/repos/pritunl/pritunl/contributors;401
1126087;gitpython-developers/GitPython;1779;https://github.com/gitpython-developers/GitPython;https://api.github.com/repos/gitpython-developers/GitPython/releases{/id};https://api.github.com/repos/gitpython-developers/GitPython/tags;2010-11-30T17:34:03Z;2018-05-11T13:12:40Z;2018-05-04T13:18:35Z;https://api.github.com/repos/gitpython-developers/GitPython/collaborators{/collaborator};https://api.github.com/repos/gitpython-developers/GitPython/contributors;44
2113510;crossbario/autobahn-python;1766;https://github.com/crossbario/autobahn-python;https://api.github.com/repos/crossbario/autobahn-python/releases{/id};https://api.github.com/repos/crossbario/autobahn-python/tags;2011-07-27T15:22:13Z;2018-05-14T13:41:42Z;2018-05-12T10:17:06Z;https://api.github.com/repos/crossbario/autobahn-python/collaborators{/collaborator};https://api.github.com/repos/crossbario/autobahn-python/contributors;95
6198326;Suor/funcy;1745;https://github.com/Suor/funcy;https://api.github.com/repos/Suor/funcy/releases{/id};https://api.github.com/repos/Suor/funcy/tags;2012-10-13T00:44:57Z;2018-05-12T19:25:10Z;2018-05-09T13:49:30Z;https://api.github.com/repos/Suor/funcy/collaborators{/collaborator};https://api.github.com/repos/Suor/funcy/contributors;44
