exception_name,count,origin
KeyError,5,sys
HTTPError,4,usr
CookieError,3,usr
RuntimeError,3,sys
Exception,3,sys
NotImplemented,1,lib
TooManyRedirects,1,usr
TimeoutError,1,usr
MaxRetryError,1,usr
HostChangedError,1,usr
EmptyPoolError,1,usr
ValueError,1,sys
Timeout,1,usr
error,1,lib
SSLError,1,usr
NotImplementedError,1,sys
ConnectionError,1,usr
URLRequired,1,usr
