exception_name,count,origin
SSLv2_MISSING_SERVERFINISHED,1,lib
HANDLED_SERVERFINISHED,1,lib
RECEIVED_SERVERFLIGHT1,1,lib
SSLv2_SENT_CLIENTHELLO,1,lib
SYN_SENT,1,lib
SSLv2_HANDLED_CLIENTDATA,1,lib
SSLv2_CLOSE_NOTIFY_FINAL,1,lib
ADDED_CLIENTHELLO,1,lib
SSLv2_RECEIVED_SERVERDATA,1,lib
SENT_CLIENTFLIGHT1,1,lib
SENT_CLIENTFLIGHT2,1,lib
state,1,lib
IOError,1,sys
ADDED_CLIENTDATA,1,lib
SSLv2_SENT_SERVERVERIFY,1,lib
ADDED_CERTIFICATEVERIFY,1,lib
SSLv2_SENT_SERVERFINISHED,1,lib
InterceptionPoint,1,lib
DATA,1,lib
SSLv2_RECEIVED_CLIENTCERTIFICATE,1,lib
SSLv2_ADDED_CLIENTHELLO,1,lib
_BreakException,1,usr
SENT_CLIENTDATA,1,lib
ADDED_SERVERHELLODONE,1,lib
SSLv2_WAITING_SERVERDATA,1,lib
BER_Encoding_Error,1,usr
MISSING_CLIENTHELLO,1,lib
